id,data_pedido,cliente,produto,categoria,vendedor,regiao,qtd,valor_unitario,valor_total,status,prazo_dias,entrega_dias
1081,2024-01-04,Cliente I,Headset Gamer,Periféricos,Ana Silva,Sul,2,335.06,670.13,Entregue,10,13
1126,2024-01-04,Cliente M,"Monitor 27""",Eletrônicos,Diana Santos,Norte,1,1025.92,1025.92,Entregue,7,6
957,2024-01-04,Cliente C,Cadeira Ergonômica,Mobiliário,Ana Silva,Norte,1,975.63,975.63,Entregue,3,4
556,2024-01-05,Cliente T,Mesa Standing,Mobiliário,Eduardo Rocha,Nordeste,3,1330.37,3991.12,Entregue,5,8
61,2024-01-05,Cliente L,Webcam HD,Periféricos,Carlos Lima,Centro-Oeste,2,180.86,361.71,Entregue,6,8
412,2024-01-05,Cliente C,Cadeira Ergonômica,Mobiliário,Carlos Lima,Sul,1,879.51,879.51,Cancelado,12,
401,2024-01-05,Cliente B,Mesa Standing,Mobiliário,Carlos Lima,Nordeste,5,1586.52,7932.6,Entregue,6,7
1017,2024-01-05,Cliente E,"Monitor 27""",Eletrônicos,Ana Silva,Sudeste,4,1028.58,4114.33,Entregue,7,10
212,2024-01-06,Cliente E,Notebook Pro,Eletrônicos,Ana Silva,Norte,3,2991.5,8974.5,Cancelado,14,
127,2024-01-06,Cliente D,Headset Gamer,Periféricos,Ana Silva,Nordeste,1,318.29,318.29,Entregue,4,2
674,2024-01-06,Cliente G,Mesa Standing,Mobiliário,Carlos Lima,Norte,3,1316.8,3950.4,Em trânsito,5,
275,2024-01-06,Cliente B,Mesa Standing,Mobiliário,Eduardo Rocha,Centro-Oeste,2,1507.74,3015.49,Em trânsito,3,
1036,2024-01-07,Cliente F,Headset Gamer,Periféricos,Carlos Lima,Sul,2,309.25,618.49,Entregue,6,7
20,2024-01-07,Cliente J,"Monitor 27""",Eletrônicos,Ana Silva,Centro-Oeste,4,1141.68,4566.71,Em trânsito,10,
900,2024-01-07,Cliente B,Webcam HD,Periféricos,Diana Santos,Sul,1,200.58,200.58,Entregue,10,14
200,2024-01-08,Cliente F,Webcam HD,Periféricos,Bruno Costa,Centro-Oeste,5,191.07,955.35,Entregue,3,2
835,2024-01-08,Cliente H,"Monitor 27""",Eletrônicos,Bruno Costa,Sudeste,1,1148.77,1148.77,Em trânsito,6,
474,2024-01-08,Cliente I,Mesa Standing,Mobiliário,Carlos Lima,Sudeste,2,1347.43,2694.85,Entregue,11,10
905,2024-01-08,Cliente H,Headset Gamer,Periféricos,Ana Silva,Sul,3,326.03,978.08,Cancelado,14,
254,2024-01-09,Cliente A,SSD 1TB,Eletrônicos,Bruno Costa,Sudeste,5,393.6,1967.99,Entregue,13,13
1028,2024-01-09,Cliente Q,Notebook Pro,Eletrônicos,Diana Santos,Norte,1,2956.59,2956.59,Cancelado,11,
930,2024-01-09,Cliente C,Cadeira Ergonômica,Mobiliário,Bruno Costa,Sul,2,844.59,1689.17,Entregue,4,7
193,2024-01-09,Cliente O,Notebook Pro,Eletrônicos,Carlos Lima,Sul,2,3519.86,7039.72,Entregue,12,13
703,2024-01-09,Cliente R,Teclado Mecânico,Periféricos,Diana Santos,Sudeste,2,291.34,582.68,Entregue,10,13
208,2024-01-10,Cliente K,SSD 1TB,Eletrônicos,Diana Santos,Nordeste,3,402.58,1207.75,Em trânsito,8,
921,2024-01-11,Cliente B,Webcam HD,Periféricos,Eduardo Rocha,Sul,1,198.35,198.35,Entregue,5,3
712,2024-01-11,Cliente M,Teclado Mecânico,Periféricos,Bruno Costa,Sudeste,2,271.98,543.95,Entregue,7,9
494,2024-01-11,Cliente H,Notebook Pro,Eletrônicos,Bruno Costa,Nordeste,5,2945.6,14728.01,Entregue,5,5
48,2024-01-11,Cliente G,Headset Gamer,Periféricos,Eduardo Rocha,Sudeste,1,333.8,333.8,Entregue,10,13
886,2024-01-12,Cliente L,Teclado Mecânico,Periféricos,Carlos Lima,Sudeste,3,290.08,870.23,Entregue,8,13
214,2024-01-12,Cliente E,"Monitor 27""",Eletrônicos,Bruno Costa,Norte,1,1127.91,1127.91,Entregue,8,8
1109,2024-01-12,Cliente O,Headset Gamer,Periféricos,Diana Santos,Nordeste,2,310.02,620.03,Entregue,13,14
441,2024-01-12,Cliente H,Webcam HD,Periféricos,Diana Santos,Sul,1,190.26,190.26,Entregue,10,11
1155,2024-01-13,Cliente J,Mesa Standing,Mobiliário,Ana Silva,Centro-Oeste,4,1527.15,6108.59,Cancelado,14,
77,2024-01-13,Cliente A,"Monitor 27""",Eletrônicos,Eduardo Rocha,Centro-Oeste,4,1094.09,4376.35,Entregue,6,5
120,2024-01-13,Cliente O,Notebook Pro,Eletrônicos,Ana Silva,Sudeste,5,3465.13,17325.63,Entregue,9,11
756,2024-01-13,Cliente H,Headset Gamer,Periféricos,Bruno Costa,Sul,3,303.11,909.32,Entregue,5,5
1129,2024-01-15,Cliente P,Notebook Pro,Eletrônicos,Diana Santos,Sul,5,3405.87,17029.33,Entregue,7,9
382,2024-01-15,Cliente J,Webcam HD,Periféricos,Eduardo Rocha,Norte,4,203.75,814.98,Entregue,7,9
504,2024-01-15,Cliente E,Webcam HD,Periféricos,Ana Silva,Norte,4,196.43,785.71,Entregue,14,13
858,2024-01-15,Cliente P,Cadeira Ergonômica,Mobiliário,Ana Silva,Sul,3,899.13,2697.38,Entregue,4,5
818,2024-01-16,Cliente G,Webcam HD,Periféricos,Carlos Lima,Sul,1,193.03,193.03,Entregue,7,5
302,2024-01-16,Cliente E,Webcam HD,Periféricos,Carlos Lima,Nordeste,4,188.34,753.36,Entregue,11,15
287,2024-01-17,Cliente O,Notebook Pro,Eletrônicos,Eduardo Rocha,Norte,1,3369.87,3369.87,Entregue,11,16
649,2024-01-17,Cliente M,Mesa Standing,Mobiliário,Diana Santos,Norte,4,1404.9,5619.59,Entregue,6,11
749,2024-01-17,Cliente S,Teclado Mecânico,Periféricos,Ana Silva,Sul,4,255.6,1022.39,Entregue,12,17
873,2024-01-17,Cliente T,Mesa Standing,Mobiliário,Eduardo Rocha,Norte,4,1495.66,5982.63,Entregue,9,9
859,2024-01-17,Cliente N,Cadeira Ergonômica,Mobiliário,Bruno Costa,Nordeste,1,959.13,959.13,Em trânsito,3,
1113,2024-01-17,Cliente M,Notebook Pro,Eletrônicos,Bruno Costa,Sudeste,5,3374.0,16870.02,Em trânsito,10,
554,2024-01-18,Cliente O,Teclado Mecânico,Periféricos,Bruno Costa,Nordeste,1,269.8,269.8,Entregue,12,17
126,2024-01-18,Cliente K,Webcam HD,Periféricos,Eduardo Rocha,Sudeste,3,181.69,545.06,Entregue,3,8
272,2024-01-19,Cliente E,Cadeira Ergonômica,Mobiliário,Bruno Costa,Sul,3,845.86,2537.59,Entregue,5,8
60,2024-01-20,Cliente L,"Monitor 27""",Eletrônicos,Eduardo Rocha,Nordeste,3,1163.18,3489.55,Em trânsito,9,
879,2024-01-20,Cliente N,SSD 1TB,Eletrônicos,Carlos Lima,Nordeste,2,441.7,883.41,Em trânsito,14,
416,2024-01-21,Cliente Q,SSD 1TB,Eletrônicos,Bruno Costa,Sul,4,418.91,1675.65,Entregue,3,2
705,2024-01-21,Cliente A,"Monitor 27""",Eletrônicos,Bruno Costa,Nordeste,2,1045.41,2090.83,Cancelado,8,
1013,2024-01-22,Cliente T,"Monitor 27""",Eletrônicos,Diana Santos,Norte,3,1119.36,3358.07,Cancelado,13,
71,2024-01-22,Cliente S,Mesa Standing,Mobiliário,Bruno Costa,Sudeste,1,1525.77,1525.77,Cancelado,13,
889,2024-01-22,Cliente T,Teclado Mecânico,Periféricos,Carlos Lima,Centro-Oeste,5,260.3,1301.5,Em trânsito,4,
308,2024-01-22,Cliente S,Webcam HD,Periféricos,Carlos Lima,Centro-Oeste,5,197.73,988.65,Cancelado,5,
484,2024-01-22,Cliente A,Webcam HD,Periféricos,Carlos Lima,Norte,5,178.53,892.63,Entregue,10,8
1030,2024-01-23,Cliente G,SSD 1TB,Eletrônicos,Carlos Lima,Norte,3,446.31,1338.93,Cancelado,12,
741,2024-01-23,Cliente B,Notebook Pro,Eletrônicos,Bruno Costa,Sudeste,3,3118.79,9356.36,Entregue,14,17
1123,2024-01-23,Cliente R,Teclado Mecânico,Periféricos,Diana Santos,Sul,5,293.92,1469.61,Entregue,5,10
1080,2024-01-24,Cliente F,Mesa Standing,Mobiliário,Diana Santos,Sudeste,3,1537.12,4611.37,Entregue,13,12
514,2024-01-24,Cliente L,"Monitor 27""",Eletrônicos,Ana Silva,Sul,3,1066.48,3199.43,Entregue,4,2
9,2024-01-24,Cliente S,Webcam HD,Periféricos,Bruno Costa,Centro-Oeste,5,205.1,1025.51,Entregue,13,18
236,2024-01-25,Cliente T,Notebook Pro,Eletrônicos,Ana Silva,Sudeste,5,3113.57,15567.86,Entregue,7,6
994,2024-01-25,Cliente A,Teclado Mecânico,Periféricos,Eduardo Rocha,Sul,3,295.35,886.06,Em trânsito,9,
989,2024-01-26,Cliente K,Notebook Pro,Eletrônicos,Bruno Costa,Sudeste,1,2981.15,2981.15,Entregue,3,3
3,2024-01-26,Cliente M,"Monitor 27""",Eletrônicos,Ana Silva,Sudeste,3,1105.18,3315.55,Entregue,13,13
392,2024-01-27,Cliente M,"Monitor 27""",Eletrônicos,Diana Santos,Centro-Oeste,3,1028.13,3084.39,Em trânsito,13,
1087,2024-01-27,Cliente A,Notebook Pro,Eletrônicos,Eduardo Rocha,Centro-Oeste,4,3218.16,12872.63,Entregue,6,11
950,2024-01-27,Cliente H,Teclado Mecânico,Periféricos,Ana Silva,Norte,1,281.96,281.96,Entregue,11,9
533,2024-01-28,Cliente Q,"Monitor 27""",Eletrônicos,Ana Silva,Sudeste,1,1035.13,1035.13,Entregue,12,12
191,2024-01-28,Cliente N,Teclado Mecânico,Periféricos,Eduardo Rocha,Sul,4,286.78,1147.14,Cancelado,14,
773,2024-01-28,Cliente E,Headset Gamer,Periféricos,Carlos Lima,Norte,4,316.76,1267.03,Entregue,10,8
850,2024-01-29,Cliente O,Webcam HD,Periféricos,Ana Silva,Sul,2,198.65,397.31,Em trânsito,9,
363,2024-01-29,Cliente I,Headset Gamer,Periféricos,Carlos Lima,Sul,3,342.35,1027.04,Entregue,13,13
473,2024-01-29,Cliente N,Cadeira Ergonômica,Mobiliário,Bruno Costa,Norte,5,952.07,4760.34,Em trânsito,4,
1016,2024-01-30,Cliente K,Notebook Pro,Eletrônicos,Diana Santos,Nordeste,2,3348.07,6696.14,Em trânsito,11,
621,2024-01-30,Cliente P,Webcam HD,Periféricos,Ana Silva,Nordeste,4,195.08,780.33,Entregue,10,9
928,2024-01-30,Cliente O,SSD 1TB,Eletrônicos,Ana Silva,Nordeste,3,378.28,1134.84,Em trânsito,11,
113,2024-01-30,Cliente D,Webcam HD,Periféricos,Diana Santos,Sudeste,5,199.47,997.36,Em trânsito,10,
1153,2024-01-30,Cliente M,"Monitor 27""",Eletrônicos,Eduardo Rocha,Centro-Oeste,4,1002.97,4011.87,Entregue,3,4
654,2024-01-30,Cliente S,Cadeira Ergonômica,Mobiliário,Ana Silva,Norte,5,856.67,4283.34,Em trânsito,8,
1186,2024-01-31,Cliente K,Mesa Standing,Mobiliário,Diana Santos,Sudeste,5,1416.27,7081.36,Entregue,9,12
782,2024-01-31,Cliente M,"Monitor 27""",Eletrônicos,Eduardo Rocha,Sudeste,1,1197.52,1197.52,Em trânsito,8,
542,2024-01-31,Cliente K,Cadeira Ergonômica,Mobiliário,Diana Santos,Nordeste,1,960.37,960.37,Entregue,12,11
1058,2024-02-01,Cliente J,Cadeira Ergonômica,Mobiliário,Ana Silva,Norte,3,866.77,2600.31,Cancelado,3,
418,2024-02-01,Cliente L,Teclado Mecânico,Periféricos,Carlos Lima,Norte,1,286.73,286.73,Em trânsito,5,
717,2024-02-01,Cliente L,Mesa Standing,Mobiliário,Ana Silva,Sul,4,1578.85,6315.38,Cancelado,7,
716,2024-02-01,Cliente J,"Monitor 27""",Eletrônicos,Carlos Lima,Nordeste,4,1002.83,4011.33,Entregue,14,15
466,2024-02-01,Cliente F,Teclado Mecânico,Periféricos,Ana Silva,Centro-Oeste,5,286.37,1431.87,Entregue,9,7
1000,2024-02-01,Cliente B,Headset Gamer,Periféricos,Carlos Lima,Sul,1,315.59,315.59,Entregue,13,18
914,2024-02-01,Cliente K,"Monitor 27""",Eletrônicos,Carlos Lima,Centro-Oeste,5,1099.08,5495.39,Entregue,11,16
885,2024-02-01,Cliente O,Teclado Mecânico,Periféricos,Diana Santos,Nordeste,5,304.82,1524.11,Em trânsito,10,
823,2024-02-01,Cliente H,Notebook Pro,Eletrônicos,Diana Santos,Centro-Oeste,1,3437.22,3437.22,Entregue,6,10
491,2024-02-02,Cliente A,"Monitor 27""",Eletrônicos,Bruno Costa,Sudeste,2,1110.98,2221.96,Entregue,10,11
768,2024-02-02,Cliente L,"Monitor 27""",Eletrônicos,Diana Santos,Norte,4,1059.05,4236.2,Entregue,3,7
618,2024-02-02,Cliente C,Teclado Mecânico,Periféricos,Ana Silva,Centro-Oeste,4,255.12,1020.5,Em trânsito,9,
239,2024-02-03,Cliente D,Teclado Mecânico,Periféricos,Ana Silva,Sudeste,3,281.78,845.34,Entregue,13,18
326,2024-02-03,Cliente K,Headset Gamer,Periféricos,Eduardo Rocha,Sul,5,302.16,1510.79,Entregue,13,13
63,2024-02-03,Cliente B,Notebook Pro,Eletrônicos,Diana Santos,Centro-Oeste,4,3417.72,13670.86,Entregue,6,4
307,2024-02-03,Cliente T,Webcam HD,Periféricos,Diana Santos,Sudeste,5,199.56,997.82,Cancelado,14,
261,2024-02-04,Cliente D,Webcam HD,Periféricos,Carlos Lima,Centro-Oeste,1,188.9,188.9,Em trânsito,7,
878,2024-02-05,Cliente F,Headset Gamer,Periféricos,Diana Santos,Centro-Oeste,4,338.99,1355.94,Cancelado,5,
89,2024-02-05,Cliente I,Webcam HD,Periféricos,Ana Silva,Norte,4,175.01,700.05,Entregue,8,12
1104,2024-02-05,Cliente N,"Monitor 27""",Eletrônicos,Carlos Lima,Sul,1,992.59,992.59,Entregue,10,8
161,2024-02-05,Cliente B,Teclado Mecânico,Periféricos,Diana Santos,Nordeste,2,287.17,574.33,Em trânsito,8,
865,2024-02-05,Cliente O,"Monitor 27""",Eletrônicos,Bruno Costa,Sudeste,3,1081.85,3245.54,Entregue,14,13
972,2024-02-06,Cliente N,Cadeira Ergonômica,Mobiliário,Eduardo Rocha,Centro-Oeste,3,964.74,2894.21,Entregue,6,9
218,2024-02-06,Cliente S,Notebook Pro,Eletrônicos,Diana Santos,Sul,1,3377.57,3377.57,Entregue,13,11
1009,2024-02-06,Cliente C,Teclado Mecânico,Periféricos,Diana Santos,Sul,4,286.94,1147.76,Em trânsito,12,
313,2024-02-06,Cliente M,Notebook Pro,Eletrônicos,Diana Santos,Norte,5,3336.49,16682.46,Entregue,5,10
602,2024-02-07,Cliente L,"Monitor 27""",Eletrônicos,Eduardo Rocha,Sul,1,1138.05,1138.05,Entregue,12,16
296,2024-02-07,Cliente D,Headset Gamer,Periféricos,Carlos Lima,Sudeste,2,318.89,637.79,Cancelado,3,
34,2024-02-08,Cliente N,SSD 1TB,Eletrônicos,Ana Silva,Sul,2,445.28,890.56,Entregue,8,9
497,2024-02-08,Cliente H,Headset Gamer,Periféricos,Ana Silva,Centro-Oeste,3,308.6,925.79,Entregue,11,12
1039,2024-02-08,Cliente B,Headset Gamer,Periféricos,Bruno Costa,Nordeste,5,301.06,1505.32,Entregue,12,15
97,2024-02-09,Cliente I,Teclado Mecânico,Periféricos,Ana Silva,Norte,3,301.51,904.54,Entregue,8,12
1149,2024-02-09,Cliente S,Cadeira Ergonômica,Mobiliário,Diana Santos,Norte,5,952.3,4761.51,Entregue,3,8
772,2024-02-09,Cliente P,Headset Gamer,Periféricos,Ana Silva,Nordeste,4,323.34,1293.35,Entregue,6,4
769,2024-02-09,Cliente C,SSD 1TB,Eletrônicos,Eduardo Rocha,Norte,5,454.08,2270.42,Cancelado,5,
1197,2024-02-10,Cliente G,Notebook Pro,Eletrônicos,Ana Silva,Sudeste,4,3293.48,13173.92,Entregue,10,8
615,2024-02-10,Cliente T,Cadeira Ergonômica,Mobiliário,Diana Santos,Sul,2,863.9,1727.81,Entregue,4,2
468,2024-02-10,Cliente P,Teclado Mecânico,Periféricos,Ana Silva,Nordeste,5,303.38,1516.92,Entregue,3,2
1162,2024-02-11,Cliente P,"Monitor 27""",Eletrônicos,Eduardo Rocha,Sul,4,991.37,3965.49,Entregue,9,14
369,2024-02-11,Cliente P,Cadeira Ergonômica,Mobiliário,Eduardo Rocha,Norte,5,962.29,4811.43,Cancelado,10,
593,2024-02-11,Cliente J,SSD 1TB,Eletrônicos,Eduardo Rocha,Norte,3,453.21,1359.64,Cancelado,11,
171,2024-02-12,Cliente T,Cadeira Ergonômica,Mobiliário,Ana Silva,Sudeste,3,829.39,2488.17,Entregue,5,4
1045,2024-02-12,Cliente L,Mesa Standing,Mobiliário,Bruno Costa,Centro-Oeste,3,1436.01,4308.02,Em trânsito,9,
525,2024-02-12,Cliente F,Cadeira Ergonômica,Mobiliário,Eduardo Rocha,Sul,5,826.15,4130.76,Entregue,11,16
12,2024-02-12,Cliente R,Notebook Pro,Eletrônicos,Diana Santos,Centro-Oeste,4,3371.36,13485.43,Entregue,14,19
95,2024-02-13,Cliente M,SSD 1TB,Eletrônicos,Carlos Lima,Centro-Oeste,2,424.05,848.1,Entregue,12,15
891,2024-02-13,Cliente K,Notebook Pro,Eletrônicos,Ana Silva,Sudeste,4,3335.47,13341.88,Cancelado,5,
348,2024-02-13,Cliente H,Notebook Pro,Eletrônicos,Bruno Costa,Sudeste,3,3369.54,10108.63,Entregue,13,17
475,2024-02-13,Cliente S,Cadeira Ergonômica,Mobiliário,Bruno Costa,Sul,2,856.68,1713.35,Entregue,6,8
264,2024-02-14,Cliente L,Webcam HD,Periféricos,Ana Silva,Norte,4,194.8,779.19,Entregue,8,9
574,2024-02-14,Cliente C,"Monitor 27""",Eletrônicos,Bruno Costa,Sul,5,1024.26,5121.29,Entregue,7,7
207,2024-02-14,Cliente H,Headset Gamer,Periféricos,Carlos Lima,Sul,1,337.66,337.66,Cancelado,7,
106,2024-02-14,Cliente S,Headset Gamer,Periféricos,Carlos Lima,Nordeste,2,338.37,676.74,Entregue,12,17
22,2024-02-14,Cliente G,"Monitor 27""",Eletrônicos,Carlos Lima,Centro-Oeste,3,1027.62,3082.86,Em trânsito,7,
911,2024-02-14,Cliente C,Notebook Pro,Eletrônicos,Carlos Lima,Centro-Oeste,4,2942.19,11768.77,Entregue,12,14
757,2024-02-15,Cliente S,Webcam HD,Periféricos,Carlos Lima,Sudeste,2,185.51,371.01,Cancelado,14,
167,2024-02-15,Cliente M,SSD 1TB,Eletrônicos,Bruno Costa,Sul,1,416.25,416.25,Em trânsito,7,
169,2024-02-15,Cliente J,Cadeira Ergonômica,Mobiliário,Ana Silva,Norte,2,871.07,1742.15,Cancelado,5,
1199,2024-02-15,Cliente T,Webcam HD,Periféricos,Eduardo Rocha,Nordeste,5,188.21,941.06,Cancelado,4,
870,2024-02-15,Cliente H,Notebook Pro,Eletrônicos,Eduardo Rocha,Sudeste,5,3178.05,15890.24,Entregue,11,12
1027,2024-02-17,Cliente K,Teclado Mecânico,Periféricos,Bruno Costa,Sul,4,285.65,1142.61,Em trânsito,13,
75,2024-02-17,Cliente F,"Monitor 27""",Eletrônicos,Diana Santos,Centro-Oeste,3,1202.23,3606.69,Entregue,4,9
526,2024-02-17,Cliente J,Headset Gamer,Periféricos,Ana Silva,Norte,4,296.54,1186.16,Entregue,12,15
231,2024-02-17,Cliente S,Teclado Mecânico,Periféricos,Bruno Costa,Nordeste,3,278.05,834.16,Entregue,9,12
613,2024-02-17,Cliente E,Cadeira Ergonômica,Mobiliário,Diana Santos,Norte,4,924.28,3697.12,Entregue,11,14
813,2024-02-18,Cliente O,SSD 1TB,Eletrônicos,Eduardo Rocha,Sul,2,435.84,871.67,Em trânsito,3,
1174,2024-02-18,Cliente A,Notebook Pro,Eletrônicos,Diana Santos,Nordeste,2,3480.63,6961.25,Entregue,11,10
183,2024-02-18,Cliente D,Notebook Pro,Eletrônicos,Bruno Costa,Sul,2,3244.35,6488.7,Em trânsito,3,
129,2024-02-19,Cliente P,Cadeira Ergonômica,Mobiliário,Carlos Lima,Nordeste,4,930.98,3723.91,Cancelado,6,
961,2024-02-19,Cliente H,Headset Gamer,Periféricos,Ana Silva,Centro-Oeste,1,335.69,335.69,Cancelado,3,
419,2024-02-19,Cliente D,SSD 1TB,Eletrônicos,Diana Santos,Nordeste,5,386.54,1932.72,Entregue,7,8
943,2024-02-19,Cliente L,Webcam HD,Periféricos,Bruno Costa,Sul,1,200.86,200.86,Cancelado,12,
222,2024-02-19,Cliente R,Webcam HD,Periféricos,Ana Silva,Nordeste,1,201.43,201.43,Em trânsito,6,
1021,2024-02-19,Cliente F,SSD 1TB,Eletrônicos,Eduardo Rocha,Sul,1,433.19,433.19,Em trânsito,4,
238,2024-02-19,Cliente S,Cadeira Ergonômica,Mobiliário,Ana Silva,Sul,3,830.69,2492.07,Cancelado,8,
927,2024-02-19,Cliente K,Headset Gamer,Periféricos,Bruno Costa,Nordeste,2,320.98,641.95,Cancelado,3,
733,2024-02-20,Cliente O,Cadeira Ergonômica,Mobiliário,Bruno Costa,Sudeste,5,829.41,4147.07,Cancelado,10,
745,2024-02-21,Cliente L,Teclado Mecânico,Periféricos,Diana Santos,Nordeste,4,297.59,1190.35,Cancelado,7,
555,2024-02-22,Cliente S,Notebook Pro,Eletrônicos,Diana Santos,Norte,5,3427.62,17138.11,Em trânsito,9,
1117,2024-02-22,Cliente B,Notebook Pro,Eletrônicos,Bruno Costa,Sul,4,2972.02,11888.09,Entregue,10,11
682,2024-02-22,Cliente H,"Monitor 27""",Eletrônicos,Bruno Costa,Centro-Oeste,4,1138.38,4553.51,Entregue,10,10
1069,2024-02-22,Cliente Q,Notebook Pro,Eletrônicos,Diana Santos,Nordeste,1,3158.84,3158.84,Entregue,14,15
634,2024-02-22,Cliente E,"Monitor 27""",Eletrônicos,Bruno Costa,Centro-Oeste,4,1100.45,4401.8,Entregue,12,15
94,2024-02-24,Cliente C,Teclado Mecânico,Periféricos,Diana Santos,Norte,4,304.02,1216.07,Em trânsito,5,
102,2024-02-24,Cliente A,Mesa Standing,Mobiliário,Bruno Costa,Centro-Oeste,2,1423.8,2847.6,Entregue,8,7
1169,2024-02-24,Cliente I,Notebook Pro,Eletrônicos,Bruno Costa,Nordeste,3,2891.74,8675.23,Entregue,9,7
586,2024-02-25,Cliente T,Webcam HD,Periféricos,Diana Santos,Sudeste,4,171.2,684.8,Entregue,8,12
592,2024-02-25,Cliente F,Notebook Pro,Eletrônicos,Bruno Costa,Norte,5,3189.58,15947.9,Em trânsito,9,
578,2024-02-25,Cliente M,Headset Gamer,Periféricos,Bruno Costa,Nordeste,1,305.14,305.14,Entregue,5,7
455,2024-02-26,Cliente M,Teclado Mecânico,Periféricos,Eduardo Rocha,Nordeste,4,290.6,1162.4,Cancelado,10,
1044,2024-02-26,Cliente K,Headset Gamer,Periféricos,Ana Silva,Sul,3,320.14,960.42,Entregue,8,6
970,2024-02-27,Cliente B,Webcam HD,Periféricos,Ana Silva,Centro-Oeste,3,184.04,552.11,Cancelado,10,
1156,2024-02-27,Cliente T,"Monitor 27""",Eletrônicos,Eduardo Rocha,Sul,1,1043.36,1043.36,Em trânsito,13,
919,2024-02-27,Cliente A,Teclado Mecânico,Periféricos,Carlos Lima,Sul,4,258.44,1033.77,Entregue,4,4
563,2024-02-28,Cliente H,Webcam HD,Periféricos,Eduardo Rocha,Sul,1,182.12,182.12,Entregue,8,13
998,2024-02-28,Cliente K,"Monitor 27""",Eletrônicos,Carlos Lima,Sul,4,1095.3,4381.21,Entregue,8,9
376,2024-02-29,Cliente N,Webcam HD,Periféricos,Ana Silva,Norte,1,200.63,200.63,Entregue,7,7
1189,2024-02-29,Cliente D,Notebook Pro,Eletrônicos,Diana Santos,Centro-Oeste,4,2891.45,11565.79,Cancelado,8,
944,2024-03-02,Cliente O,Webcam HD,Periféricos,Ana Silva,Nordeste,4,174.94,699.74,Entregue,7,6
996,2024-03-02,Cliente O,Webcam HD,Periféricos,Eduardo Rocha,Norte,4,189.79,759.16,Cancelado,13,
247,2024-03-02,Cliente C,Webcam HD,Periféricos,Diana Santos,Nordeste,5,176.06,880.29,Em trânsito,6,
1040,2024-03-03,Cliente R,Webcam HD,Periféricos,Ana Silva,Nordeste,1,185.27,185.27,Cancelado,3,
567,2024-03-03,Cliente H,Mesa Standing,Mobiliário,Eduardo Rocha,Norte,4,1418.71,5674.84,Cancelado,5,
937,2024-03-03,Cliente F,Cadeira Ergonômica,Mobiliário,Bruno Costa,Sudeste,4,922.18,3688.71,Em trânsito,12,
1093,2024-03-03,Cliente T,Headset Gamer,Periféricos,Carlos Lima,Norte,4,339.71,1358.83,Entregue,5,5
612,2024-03-03,Cliente C,Notebook Pro,Eletrônicos,Bruno Costa,Centro-Oeste,1,3224.08,3224.08,Em trânsito,5,
355,2024-03-03,Cliente D,Notebook Pro,Eletrônicos,Bruno Costa,Centro-Oeste,3,3098.77,9296.31,Entregue,8,11
160,2024-03-04,Cliente G,Webcam HD,Periféricos,Carlos Lima,Centro-Oeste,1,185.75,185.75,Cancelado,11,
188,2024-03-05,Cliente O,Teclado Mecânico,Periféricos,Eduardo Rocha,Sudeste,1,275.66,275.66,Entregue,6,11
711,2024-03-05,Cliente E,"Monitor 27""",Eletrônicos,Carlos Lima,Nordeste,1,1174.48,1174.48,Entregue,13,17
